PID, Name, samples, min_elapsed (ms), max_elapsed (ms), total_elapsed (s), avg_elapsed (s), freq (Hz), number of values, min, max, total, avg
0x0020,ACC,1694,217,586,625.347,0.36915407319952775,2.70889602092918,3,"[-204, -204, -204]","[94, 168, 74]","[-82069, -46419, -152142]","[-48.446871310507674, -27.402007083825264, -89.81227863046045]"
0x0021,GYRO,1694,214,532,625.392,0.36918063754427394,2.7087011026684062,3,"[-74, -26, -51]","[76, 24, 45]","[-82, -146, 687]","[-0.048406139315230225, -0.08618654073199528, 0.40554899645808734]"
0x0023,MEMS_TEMP,1694,214,532,625.392,0.36918063754427394,2.7087011026684062,1,[-1872],[-1360],[-2833936],[-1672.9256198347107]
0x0104,ENGINE_LOAD,637,700,3299,617.316,0.9690989010989012,1.0318864244568422,1,[0],[100],[19568],[30.718995290423862]
0x0105,COOLANT_TEMP,39,15306,17824,590.233,15.134179487179486,0.06607560065262363,1,[82],[97],[3463],[88.7948717948718]
0x0111,THROTTLE,637,709,3302,617.27,0.9690266875981162,1.0319633223710856,1,[0],[100],[18112],[28.433281004709578]
0x010c,RPM,636,715,4305,617.24,0.970503144654088,1.0303933640075174,1,[25],[6275],[1548872],[2435.3333333333335]
0x000a,GPS_LATITUDE,3186,97,501,625.753,0.19640709353421218,5.091465802001748,1,[3839880],[3841033],[12236018371],[3840558.1829880727]
0x000b,GPS_LONGITUDE,3186,97,501,625.753,0.19640709353421218,5.091465802001748,1,[-10530055],[-10526470],[-33542024716],[-10527942.472065285]
0x000c,GPS_ALTITUDE,3186,97,501,625.753,0.19640709353421218,5.091465802001748,1,[1739],[1948],[5804298],[1821.8135593220338]
0x000d,GPS_SPEED,3186,97,501,625.753,0.19640709353421218,5.091465802001748,1,[0],[122],[88915],[27.908035153797865]
0x0110,MAF_FLOW,160,3701,6103,617.24,3.8577500000000002,0.2592184563540924,1,[0],[107],[4799],[29.99375]
0x010d,SPEED,638,713,3306,618.24,0.9690282131661442,1.0319616977225674,1,[0],[134],[20312],[31.836990595611287]
0x0010,GPS_TIME,3186,97,501,625.753,0.19640709353421218,5.091465802001748,1,[19210880],[19313440],[61366722780],[19261369.359698683]
0x0011,GPS_DATE,3186,18,751459,1376.825,0.4321484620213434,2.314019574019937,1,[19210880],[19313440],[61366722780],[19261369.359698683]
0x010e,TIMING_ADVANCE,159,3695,6097,613.334,3.857446540880503,0.2592388486534254,1,[1],[48],[3128],[19.67295597484277]
0x010b,INTAKE_PRESSURE,159,3698,6100,613.333,3.857440251572327,0.25923927132569097,1,[14],[76],[6009],[37.79245283018868]
0x0024,BATTERY_VOLTAGE,40,15311,17733,605.638,15.14095,0.06604605391339381,1,[-1],[146],[5619],[140.475]
